asalto|TURRIALBA PERALTA|1|2014|9.968344,-83.614334
asalto|ALAJUELA SAN JOSE|97|2014|10.0032663,-84.2542195
asalto|MONTES DE OCA SAN PEDRO|275|2014|9.933333,-84.05
asalto|FLORES SAN JOAQUIN|25|2014|10.0057727,-84.1580225
asalto|PEREZ ZELEDON PLATANARES|1|2014|9.2306612,-83.6375032
asalto|PURISCAL SAN ANTONIO|3|2014|9.857633,-84.300659
asalto|ALAJUELA SAN ISIDRO|19|2014|10.831063,-84.667572
asalto|LA UNION SAN JUAN|41|2014|9.9914796,-84.0184151
asalto|CURRIDABAT SANCHEZ|16|2014|9.9129044,-84.0193861
asalto|GOLFITO GOLFITO|15|2014|8.6541162,-83.181704
asalto|OROTINA COYOLAR|6|2014|9.8941912,-84.5562878
asalto|ALAJUELA SABANILLA|7|2014|10.0764186,-84.2160228
asalto|CORREDORES LAUREL|10|2014|8.4448201,-82.9098133
asalto|MORA TABARCIA|3|2014|9.8481893,-84.2325667
asalto|TURRIALBA TRES EQUIS|1|2014|9.9599074,-83.5726284
asalto|GUATUSO SAN RAFAEL|3|2014|10.6705781,-84.8209461
asalto|SAN RAMON ANGELES|3|2014|8.6835673,-83.0562734
asalto|VASQUEZ DE CORONADO CASCAJAL|2|2014|10.006598,-83.958153
asalto|ESCAZU ESCAZU|67|2014|9.9205033,-84.1401332
asalto|GOLFITO JIMENEZ|6|2014|9.9280694,-84.0907246
asalto|NICOYA NOSARA|4|2014|9.983333,-85.65
asalto|NARANJO SAN JOSE|3|2014|9.591141,-83.956428
asalto|ESCAZU SAN ANTONIO|29|2014|9.9166727,-84.1013616
asalto|BAGACES FORTUNA|1|2014|10.6735399,-85.202766
asalto|TURRIALBA SANTA ROSA|3|2014|9.9278734,-83.697328
asalto|PUNTARENAS ACAPULPO|1|2014|9.9280694,-84.0907246
asalto|BARVA BARVA|11|2014|10.020737,-84.124116
asalto|SANTA ANA URUCA|4|2014|9.9591793,-84.1197643
asalto|DESAMPARADOS DESAMPARADOS|232|2014|10.016667,-84.183333
asalto|SAN MATEO SAN MATEO|2|2014|9.9333,-84.5167
asalto|PALMARES BUENOS AIRES|16|2014|10.060727,-84.4378495
asalto|LA UNION SAN DIEGO|88|2014|9.9045929,-84.0046435
asalto|SAN CARLOS TIGRA|3|2014|10.551909,-84.776222
asalto|SAN RAMON PEÑAS BLANCAS|9|2014|10.118166,-84.666847
asalto|GARABITO TARCOLES|11|2014|9.9280694,-84.0907246
asalto|AGUIRRE NARANJITO|1|2014|9.9280694,-84.0907246
asalto|OREAMUNO SANTA ROSA|1|2014|9.918134,-83.8420817
asalto|VASQUEZ DE CORONADO SAN RAFAEL|11|2014|9.9718793,-83.9967039
asalto|SAN CARLOS POCOSOL|8|2014|10.366667,-84.616667
asalto|PUNTARENAS CHACARITA|61|2014|9.9866822,-84.7707223
asalto|DESAMPARADOS ROSARIO|1|2014|9.7921196,-84.0855356
asalto|PEREZ ZELEDON PARAMO|2|2014|9.4973684,-83.7054107
asalto|ALAJUELA LA GARITA|13|2014|9.983333,-84.333333
asalto|VALVERDE VEGA SARCHI NORTE|4|2014|10.0898383,-84.3476321
asalto|UPALA AGUAS CLARAS|3|2014|9.9280694,-84.0907246
asalto|PALMARES GRANJA|1|2014|10.0517886,-84.4476419
asalto|PEREZ ZELEDON CAJON|2|2014|9.290112,-83.583046
asalto|ALAJUELA ALAJUELA|307|2014|10.016667,-84.216667
asalto|MORAVIA SAN JERONIMO|9|2014|10.0322142,-84.0008772
asalto|PARAISO LLANOS DE SANTA LUCIA|10|2014|9.833333,-83.866667
asalto|ATENAS ESCOBAL|1|2014|9.9393041,-84.4225186
asalto|MATINA BATAN|93|2014|9.9280694,-84.0907246
asalto|NICOYA QUEBRADA HONDA|1|2014|10.1855913,-85.2977228
asalto|TILARAN ARENAL|3|2014|10.5052242,-84.8724284
asalto|SAN CARLOS CUTRIS|8|2014|10.7651721,-84.3893073
asalto|ESPARZA ESPIRITU SANTO|34|2014|9.9906919,-84.667374
asalto|PARAISO OROSI|6|2014|9.843022,-83.8695218
asalto|SANTA ANA POZOS|34|2014|9.9492247,-84.190641
asalto|ESPARZA MACACOMA|3|2014|9.9280694,-84.0907246
asalto|CARTAGO TIERRA BLANCA|1|2014|9.9161836,-83.892355
asalto|ALAJUELA SAN RAFAEL|33|2014|10.0632425,-84.4673409
asalto|VASQUEZ DE CORONADO SAN ISIDRO|56|2014|9.9718793,-83.9967039
asalto|ALAJUELA GUACIMA|27|2014|9.966667,-84.25
asalto|LOS CHILES LOS CHILES|19|2014|11.035277,-84.706108
asalto|ESCAZU SAN RAFAEL|67|2014|9.9166727,-84.1013616
asalto|SANTO DOMINGO TURES|3|2014|9.9914528,-84.056387
