homicidios,SAN CARLOS VENADO,1,2014,10.55606,-84.754272
homicidios,VASQUEZ DE CORONADO PATALILLO,10,2014,9.9755112,-84.020708
homicidios,EL GUARCO EL TEJAR,23,2014,9.8388261,-83.9474183
homicidios,ALAJUELA SAN JOSE,54,2014,10.0032663,-84.2542195
homicidios,MONTES DE OCA SAN PEDRO,62,2014,9.933333,-84.05
homicidios,FLORES SAN JOAQUIN,17,2014,10.0057727,-84.1580225
homicidios,PURISCAL SAN ANTONIO,1,2014,9.883333,-84.3
homicidios,ALAJUELA SAN ISIDRO,15,2014,10.831063,-84.667572
homicidios,LA UNION SAN JUAN,7,2014,9.9914796,-84.0184151
homicidios,CURRIDABAT SANCHEZ,3,2014,9.9129044,-84.0193861
homicidios,GOLFITO GOLFITO,6,2014,8.6541162,-83.181704
homicidios,OROTINA COYOLAR,3,2014,9.8941912,-84.5562878
homicidios,ALAJUELA SABANILLA,3,2014,10.0764186,-84.2160228
homicidios,CORREDORES LAUREL,4,2014,8.4448201,-82.9098133
homicidios,MORA TABARCIA,2,2014,9.8481893,-84.2325667
homicidios,LEON CORTES LLANO BONITO,1,2014,21.1250077,-101.6859605
homicidios,GUATUSO SAN RAFAEL,4,2014,10.6705781,-84.8209461
homicidios,SAN RAMON ANGELES,2,2014,8.6835673,-83.0562734
homicidios,ATENAS SANTA EULALIA,1,2014,10.016667,-84.383333
homicidios,ESCAZU ESCAZU,19,2014,9.9205033,-84.1401332
homicidios,SARAPIQUI LLANURAS DEL GASPAR,1,2014,9.9280694,-84.0907246
homicidios,NICOYA NOSARA,4,2014,9.983333,-85.65
homicidios,GUATUSO KATIRA,1,2014,10.7416183,-84.9141012
homicidios,ESCAZU SAN ANTONIO,11,2014,9.9166727,-84.1013616
homicidios,BAGACES FORTUNA,1,2014,10.6735399,-85.202766
homicidios,SARAPIQUI LA VIRGEN,12,2014,10.4015672,-84.1342789
homicidios,ESPARZA SAN RAFAEL,2,2014,9.9280694,-84.0907246
homicidios,PUNTARENAS ACAPULPO,1,2014,9.9280694,-84.0907246
homicidios,BARVA BARVA,11,2014,10.020737,-84.124116
